id,longitude,latitude,gps_height,subvillage,status_group
14016,33.87310388,-9.29061569,0,Busekele,0
69525,32.071081,-5.06726885,0,Kitega Uchumi,1
73061,34.71064345,-5.18676616,1455,Mosi,0
42031,34.64835709,-9.31731152,2050,Utengule,0
33235,32.95155946,-3.77939282,0,Butondolo,1
41839,32.99370088,-2.69044203,0,Isera,1
62002,31.6012707,-2.93012242,0,Nyarutembo,0
6106,36.84150658,-3.49366766,976,Msumbiji,0
25915,33.86126585,-8.68481006,0,Wihanga,0
20673,32.54432125,-4.07660522,0,Igalula A,0
59475,38.32726235,-4.4646702000000005,1282,Mgwashi,0
24012,34.68859705,-9.69622598,2050,Ligelango,0
69107,32.41352249,-9.09504292,0,Ipumpila,1
64062,39.88898115,-10.13363156,11,Mkopwe,1
44002,31.19411613,-3.06136744,0,Nyakafundikwa A,0
37471,31.64732214,-2.78450823,0,Wichamoyo,0
49585,33.86084491,-9.59608383,0,Mikoroshini,1
60852,37.82346185,-6.771698700000001,471,Mbuyuni,0
64130,32.78502522,-5.41803094,0,Nyakahunga,1
17687,37.44310991,-6.29976667,385,Kipogoro,0
38876,37.88687839,-6.86199999,350,Kikundi Kati,1
28669,39.1857105,-6.89259326,12,Mtaa Wa Kitunda Kati,0
73769,31.65326799,-1.59857903,0,Busiiko,2
66521,34.98887131,-8.91132497,1603,Usetule Kati,0
53167,39.6002343,-10.02772132,1,Mpakani,1
24232,34.35839958,-8.69424705,0,Mkanyageni,0
65788,34.45547821,-1.24644694,1589,Buhemba,0
72981,33.78421925,-8.77994557,0,Usafwa,0
60983,39.52711433,-6.98874758,-15,Madrasa,1
37768,34.56387749,-1.72068493,1481,Madukani,1
64880,29.80857829,-4.46052001,1595,Ruhororo,0
32871,37.41877342,-10.91557638,531,Majengo B,1
45564,33.54480544,-8.928838699999998,0,Kijiweni,0
23519,32.17244285,-3.64330972,0,Kwa Karoli,2
50173,34.08915375,-3.12214007,0,Shuleni,0
66843,39.55938321,-9.70159734,101,Nangumbu,0
13815,34.94546531,-8.86866011,1562,Mahongole A,0
36591,32.06591365,-8.68875072,1481,Mianga,1
71845,34.68050209,-8.84136926,1445,Kati,0
42180,30.26413388,-4.52564753,1242,Kagembe B,0
63632,33.16358148,-2.54645921,0,Matela A,0
55594,35.0800974,-5.32212056,1231,Londoni,0
11787,33.43789893,-4.42476057,0,Hospital,0
48528,30.90475149,-5.10070113,1076,Kagwila,1
72678,0.0,-2e-08,0,Ilula,0
50970,39.08229758,-10.9753631,262,Ng'Uni,0
37840,35.98642477,-10.73055089,935,Mwinuko,0
44258,31.7799078,-7.80637606,823,Ichese,1
10715,38.33493265,-6.45446888,217,Sekondari,0
12120,36.70397575,-8.12006358,253,Katindiuka A,0
67980,36.70991445,-6.64260892,665,Mbigili,1
41635,31.52365762,-8.17864388,1783,Malangilisho,0
14884,35.7005422,-3.81945703,961,Migungani,0
56725,0.0,-2e-08,0,Mahaha,1
33037,33.20344175,-9.07440778,0,Nzovu,0
22190,38.76743559,-5.17227682,183,Kwegole,1
47459,35.63419525,-7.85014451,1592,Igavilo,0
68908,39.67094346,-7.90660636,-21,Kigamboni,0
62670,36.8272342,-3.18469585,1589,Uzunguni,0
60866,32.06802448,-8.68938706,1485,Mianga,1
2136,39.8543204,-7.78306327,-16,Jimbo Mjini,0
33320,35.76391894,-8.08918663,1823,Itimbwi,0
58126,33.01476219,-8.43639754,0,Majengo,1
45604,31.51225219,-1.13959123,0,Nyakalembe,0
67428,33.72402918,-8.93211477,0,Nyalwela,2
52318,33.85161987,-8.82993517,0,Kanisani,0
33347,34.88475031,-4.89751605,1660,Siuyu,1
36684,34.95840922,-8.51078169,1705,J,0
41034,35.2725042,-8.19550192,1712,I,0
112,38.34276796,-6.60873088,128,Chalinze Mzee A,1
4807,34.71600987,-9.12973959,1768,Sadani,0
41845,39.77883219,-10.60671713,232,Mjini,0
6065,37.89233459,-4.36699297,1567,Tariso,0
37187,37.59718978,-3.08465534,1607,Kitakura,1
26540,33.50998861,-2.15235319,1135,Stooni,1
8879,33.78466711,-3.72624692,0,Bulilwa,2
30377,30.75176889,-2.54922891,0,Nyamahawa,0
20203,34.89458362,-4.49407781,1539,Azimio,1
8060,34.89930829,-9.20451104,1768,Mahalule,0
59630,34.920323100000005,-8.83707693,1593,Manzese,0
10068,30.49985221,-2.5554993,0,Mumigezi,2
34609,31.77582328,-1.33162743,0,Bulibata,1
26701,32.85025146,-9.01509636,0,Msia Kati,0
46897,36.78231907,-3.36937009,1315,Patandi,0
34636,38.23544422,-6.63641192,205,Kudibona,1
52520,35.88015611,-3.25083059,1685,Qanqali,0
75,34.5688417,-8.91716508,1397,Sosola,1
31626,33.82643865,-9.52747959,0,Majengo,1
3181,30.35823687,-5.56948805,1232,Barabara 5,1
43098,33.24244114,-9.31914172,0,Isanga,1
37008,37.82287905,-4.14888473,1055,Nasuro B,2
34853,33.93868915,-9.61165417,0,Bagamoyo,1
48752,37.35509612,-3.40154092,744,Kijijini,2
31132,33.10016187,-3.81255032,0,Zobogo,0
37562,36.65057433,-3.2526794,1897,Olama,0
28740,33.10623082,-9.03216574,0,Shuleni,2
30257,34.96353666,-4.67802251,1620,Kawawa,0
53212,37.95878138,-4.43495404,1661,Ngujini,2
40729,36.97044487,-3.34985393,1297,Ulkusare,1
48695,29.88356158,-4.59970578,1071,Kumsenga,0
35140,38.93735313,-6.70497547,120,Kidenge,1
46814,33.35805782,-2.07269915,1201,Kabarongo,0
7721,37.08879175,-6.01081035,966,Mtakuja,0
63695,34.64498869,-4.74212404,1481,Mughanga,0
7171,32.16614798,-3.64794666,0,Ishilanga,0
58838,32.91684591,-2.84922488,0,Nyambazu,0
61046,38.4687019,-5.13246175,0,Makwei Mvuleni,0
68347,33.00023911,-2.07363796,1281,Songambele,1
14746,34.98778437,-4.64321463,1641,Ccm,2
14952,39.33063258,-10.99280378,508,Sokoni,1
64334,35.53081946,-4.50268446,1556,Olobeshi,1
72374,33.333789,-8.95920754,0,Isanga,1
33169,33.2773436,-4.20136566,0,Kachibijo,1
4907,37.50789059,-6.26635194,373,Zahanati,2
49994,33.0591187,-8.568394699999999,0,Kanga A,2
59588,38.97388970000001,-5.12551864,102,Pongwe Kati,1
46893,36.83283068,-6.09538776,1261,Ofsini,1
16944,31.73311371,-2.47636967,0,Kibehe A,1
35828,35.62759083,-6.03113722,0,Abdujumbe,1
24377,39.09126059,-4.9549518,0,Mtimbwani A,1
51694,35.06153079,-7.91507677,1007,Uyamba,0
70241,31.80083428,-1.31490138,0,Ntungamo,1
1780,35.87761667,-7.42197042,1114,Madibila,0
39490,38.70152604,-5.13617489,165,Madago,0
21704,37.43964118,-3.31993627,1421,Lole,0
35193,39.24417821,-7.36829284,-19,Kimogola,1
24948,34.63225535,-8.72031632,1244,Kati,0
6076,38.79470824,-10.57239234,357,Kilimanihewa,0
18451,37.5816604,-3.2649629,1612,Maring'A Juu,1
13042,0.0,-2e-08,0,Nyamatala,2
34877,34.3039125,-9.5043126,1790,Kinyunyu,0
10891,32.50515031,-3.91165507,0,Nyandekwa,1
33500,0.0,-2e-08,0,Ujamaa,1
1012,39.76790839,-10.37243798,64,Sokoni,1
4321,35.62422947,-7.86001982,1591,Njia Panda A,0
41162,31.04447027,-7.50921781,1536,Kipundu Kati,1
31957,31.45223354,-1.29523982,0,Bulifani,1
15815,35.06630886,-5.85530454,844,Usanguni,1
47462,35.63768716,-6.32118,0,Chizomoche,1
28110,33.0849318,-3.75139073,0,Uborwa,1
52448,35.91196769,-5.79362559,0,Nyerer,0
18832,36.76604605,-3.39285751,1257,Moivaro,1
62720,30.12658076,-4.43681809,1572,Magomeni,2
14326,37.56451071,-4.18247567,625,Muungano,0
36933,33.30381177,-8.95958218,0,Tazama,0
65093,38.80660601,-10.56479172,338,Madukani,0
50139,33.69121711,-9.45005507,0,Ilima,1
36455,32.74750562,-5.630633,0,Usega,1
49732,32.71120577,-8.81026548,0,Ipenya,0
20200,33.06037263,-3.83408324,0,Chembeli,0
43777,30.5365143,-3.79134872,1286,Kinani,0
42497,34.73579846,-11.16676157,458,Kawawa,1
52601,36.36552941,-8.77905499,326,Dakusi,0
65530,39.11013687,-4.75461109,0,Magaoni,1
73024,37.67816216,-3.69879186,1445,Mbale,0
18842,31.35287524,-7.68709583,1886,Fuzi,2
9474,30.01709818,-4.33258278,1343,Rulemba,0
44434,30.70845573,-3.59108444,1499,Kabigwa,0
36366,33.83495799,-3.76408399,0,Bukurwa,0
47236,36.65864318,-3.3307891000000005,1564,Tarakwa,1
8633,30.39148972,-5.10506992,991,Mnazi Mmoja,2
71487,0.0,-2e-08,0,Nyalwashi,0
46268,37.29307888,-3.2217387000000004,1415,Mringeni,1
36093,33.99969741,-3.56849388,0,Mahenge,0
2591,31.53969095,-7.90807484,1822,King`Ombe,0
69669,30.74937852,-3.41197674,1349,Nkoni B,1
67377,37.59776312,-6.89558991,524,Kauzeni,1
51185,34.84539417,-4.26244399,1542,Shule,1
24049,36.90794506,-3.17881406,1491,Ilkirumuni,0
70835,35.73363834,-3.30450464,1602,Juu,0
74176,37.37037474,-3.30815036,991,Kiwalaa,0
68037,35.86593887,-5.97347421,0,Makulu,0
10992,39.73445071,-10.84665973,201,Chiwindi,1
45886,33.04857289,-1.84987437,1220,Mwidea,1
64793,32.6262126,-9.24781007,0,Iluma,1
40808,38.69103275,-10.87666127,334,Bombambili 2,1
62565,30.51219714,-2.50530793,0,Mundalu,0
70379,0.0,-2e-08,0,Nyanza,0
10089,33.02122705,-3.74548548,0,Ijanija,0
37364,33.76897675,-9.57524712,0,Lubele,1
43345,33.43091711,-4.38908379,0,Barazani,0
39310,31.87632762,-3.15255484,0,Imalabupina,1
59713,0.0,-2e-08,0,Mwabasabi,0
28945,33.59620292,-9.3522683,0,Mpuga,2
5074,35.25506862,-4.30052711,1773,Sirigadi,2
54009,39.68832862,-7.9593708,-25,Ukunda,1
35563,36.03263045,-10.53104474,828,Godawni,1
17668,33.61237059,-8.87481184,0,Magoye,1
30390,33.8783666,-9.63286017,0,Kiimo,1
1298,30.71672742,-1.28905466,0,Kihanga,1
2993,38.86287361,-7.16541013,290,Manoro,1
63712,30.4743807,-3.59878746,1230,Majengo Mapya,1
61979,32.0258239,-8.93900583,1632,Kange,0
39704,40.30198716,-10.32095944,-32,Chihano,1
29191,38.78345753,-5.10821911,237,Miembeni,1
35649,34.29424585,-8.642195599999999,0,Ikulu,2
15840,40.11676805,-10.28367558,-40,Mkundi,2
45415,0.0,-2e-08,0,Sunzula Madukani,2
8055,36.35396378,-6.22393508,0,Pozamoyo,0
51403,0.0,-2e-08,0,Madukani,1
33963,39.46211242,-8.85092324,-19,Mtanga,0
21669,31.36602526,-7.97201012,1715,Katapulo,1
7900,0.0,-2e-08,0,Nyanza,0
337,29.69182833,-4.83944178,847,Msimba B,0
17861,34.89217109,-11.35532944,482,Likalo,0
13195,36.04584041,-5.92990107,0,Muongozo,1
54722,38.36129061,-9.94014777,330,Mitalula,1
2845,34.59648052,-9.08290229,1652,Kati,0
17111,32.94752532,-9.32481172,0,Nambigili,0
21338,33.50643109,-3.28863325,0,Bugoro Asili,0
49326,34.06791698,-3.17625599,0,Senani,0
15358,37.16959606,-10.87676104,572,Shuleni,0
33040,35.70202678,-5.63404591,0,Mwenge,1
40592,34.41769364,-9.21264691,2179,Ilulu A,1
29513,36.85533064,-7.95071025,293,Tazara,0
51163,31.86585448,-8.65868897,1666,Kanyezi Kati,0
40920,33.46782217,-4.03006799,0,Itobanilo A,0
65101,36.714157,-8.73986417,887,Koloa,0
21127,36.55763103,-6.23339413,0,,1
67822,36.6901363,-3.34459861,1479,Lebusha,0
14135,35.51442025,-4.41280954,1604,Endasak,0
10458,37.52655685,-3.3144532,1180,Koniko B,1
32089,0.0,-2e-08,0,Mang'Ada,0
8230,36.77188524,-3.1465134,1849,Luwai,1
43433,34.65294448,-11.10267439,480,Mungi Juu,0
62188,38.189668,-6.84613413,161,Kikondeni,0
19,39.73442461,-10.56919171,226,Mwenge,0
26577,36.98516699,-3.56223676,917,Songambele,0
68887,34.33972708,-8.61393801,0,Nyati,2
9382,30.03804351,-4.77413286,1284,Sanze,0
65238,34.67761089,-5.04209532,1549,Ufantamie,2
17897,33.45691647,-8.56654494,0,Mkombozi,2
29744,36.83183178,-3.52725556,960,Kibaoni,1
23987,31.45298632,-2.13334776,0,Miziro,2
26655,33.72743813,-8.95106078,0,Itete,1
17978,36.94719085,-2.9594595,1200,Orro,0
51558,36.41670102,-6.22015672,0,,1
48007,37.04899808,-5.84463878,1177,Mtarudi,1
25534,34.4015168,-9.61540484,1669,Ibonde,0
13969,33.35584599,-4.02026539,0,Uswahilini,0
39548,30.20482368,-4.50371347,1325,Tabirugu,1
25143,36.95971049,-7.69740663,260,Kidatu B,0
25736,36.84681264,-3.36932707,1185,Leganga,0
17516,33.46719471,-2.15195843,1145,Hospitali,0
66980,33.10638261,-4.8807539,0,Taifa Road,0
45444,36.65697271,-8.13354916,256,Mikoroshini,0
59310,0.0,-2e-08,0,Nyanza,0
59102,35.91834892,-3.17692667,1726,Kituma,0
61883,36.48669063,-8.0823985,317,Ndundu,0
93,35.63182868,-10.26251276,901,Mfalanyaki,0
15988,34.58307637,-9.0613773,1689,Msasa,1
19304,39.18336934,-8.14122174,-45,Nyampakupwani,1
44092,36.88414665,-11.44710356,513,Misufini,0
66242,36.23490716,-6.17159079,0,Bwawani B,2
51611,36.96195662,-11.3119134,674,Nyasa,2
53847,36.72938267,-6.08425531,0,,0
67634,37.54983568,-3.54812862,701,Majengo,0
24757,37.33476236,-3.30046366,980,Kariwa Kaskazini,2
37524,35.66085777,-3.3252079,1580,Sabato,0
16341,34.21765613,-2.97432722,1362,Mtakuja,0
39176,36.35436543,-8.81788385,356,Ifungira,0
24836,35.33758379,-10.45739934,995,Lulanga,0
73470,33.42849515,-7.45825658,0,Jangwani A,1
11533,32.81860519999999,-4.27140543,0,Kigangama,1
74217,36.68729462,-3.58425942,1020,Ujamaa,0
7007,34.50392432,-9.87356716,1694,Kiwanja,0
4101,33.31855816,-2.6736728,0,Pulugumwa,0
17041,32.04720198,-8.86304324,1455,Chulasitu,1
38725,34.76969867,-9.12297853,1804,Kati,0
39749,39.15988725,-6.90254757,28,Mtaa Wa Mji Mpya,1
62642,37.51103348,-3.26130463,1624,Lyasongoro,1
49453,37.88913692,-4.26978864,1576,Mheta,0
63018,34.99999697,-8.46718958,1772,M,0
65932,39.30951061,-10.66709242,442,Kilimahewa,1
56863,36.04384037,-10.99183394,729,Msikitini,1
23835,37.819264,-6.77130648,459,Mbuyuni,0
34870,38.11780585,-10.92589018,362,Sautimoja,1
39915,36.92693499,-3.46538763,965,Nazareti,0
9736,32.88066822,-2.01163745,1244,Miembeni,0
70019,33.82500278,-9.44602467,0,Kasama,1
20984,33.09165496,-2.99658524,0,Matale Ng'O,1
20132,32.65185323,-3.84954464,0,Makungu,0
5963,33.64477524,-2.8630691,0,Mwamigundui,0
3740,35.57900029,-7.86736004,1529,Ilangi,0
26943,37.23667961,-7.10013213,486,Doma B,2
43742,37.32334128,-11.44864298,375,Napulu,0
5784,30.62028881,-7.36693972,743,Katambo,1
42548,34.85214846,-8.66717288,1463,M,1
5121,36.93386583,-7.13289579,530,Miogoni,1
57478,30.95668868,-2.7845813,0,Mikaragata,0
58537,37.64666821,-3.79164451,1001,Kiverenge,2
3627,34.47972070000001,-9.72147456,1680,Lupanga A,1
4062,32.50846356,-2.54770471,0,Luchili,0
15832,39.17840407,-6.93801296,30,Mtaa Wa Kivule,1
34741,34.83510749,-11.30350354,501,Kilosa Juu,0
67097,37.06946585,-6.8202965,466,Muungano,0
4437,37.48326369,-3.39258445,813,Karamsingi,0
65817,37.0304035,-3.20928183,1256,Naibile,0
39559,39.04848579,-6.72041799,57,Kidimu,1
54412,34.3749434,-8.70124771,0,Mkwajuni,0
25344,38.83957764,-7.75992386,74,Kilimbili,1
2301,37.35486229,-3.2451682,1447,Tawingo,1
32844,35.94500825,-3.20935984,1041,Shuleni,1
59874,31.82735182,-1.21231446,0,Mlongo,1
50233,39.17884933,-6.97320593,30,Mtaa Yangeyange,1
29639,33.24888389,-8.8435735,0,Mtakuja,0
65584,37.27119332,-3.29718526,1038,Muyuni,0
43808,33.01279745,-3.80931874,0,Iligiti,1
6788,35.87087695,-4.13690289,1176,Senta,0
51220,0.0,-2e-08,0,Mbugani,0
16872,33.54222258,-9.17665663,0,Mpandapanda,2
66383,37.41089685,-3.44935828,717,Rau Ya Kati,1
58599,36.65918148,-3.30484906,1612,Lekako,0
29383,33.46966096,-3.6079163,0,Uzogore,1
36809,39.14943018,-7.65826289,118,Kimbogo,1
29753,31.61498498,-1.2126409,0,Musibuka,0
72112,37.97008233,-9.61128322,342,Mapambano,1
34926,38.96698938,-9.99109379,277,Mpuje,1
59898,36.89839974,-7.85579928,266,General Tyre,2
779,34.84505919,-8.58236567,1411,M,0
68126,36.02607935,-8.54589527,288,Kalihanya,0
48102,39.49151322,-8.88165906,-32,Mkwanyule,2
24794,33.44574404,-8.75232028,0,Uzunguni B,0
29771,33.52797453,-2.82067589,0,Mwabadimi,0
29052,29.82376296,-4.87487688,899,Msunuzi,0
4923,33.88927158,-9.26773755,0,Landani,0
38642,39.57054828,-10.90308413,241,Madina,1
27079,33.00045117,-8.38308888,0,Saza Kati,0
60111,34.78207959,-9.12239269,1842,Mvinila,0
12478,36.85403955,-3.45504725,1010,Maziwa,1
67155,33.81341932,-3.83221112,0,Mwaniriri,0
54733,38.24224578,-11.13603413,306,Msufini,0
45654,36.69906756,-8.08846585,284,Kapolo,1
54678,34.70473384,-9.20234087,1929,Uchiliwala,0
1439,39.07821972,-9.86254017,206,Chomboko,0
16313,33.28236873,-3.85714836,0,Butwale,0
6735,37.89366796,-4.34519815,1566,Gombelesa,0
3328,38.67500341,-6.40813861,30,Fukayosi,1
1220,31.52611967,-1.63276881,0,Kikomero,0
57970,30.87464627,-3.1403549,1437,Ruvumela,0
44204,37.63139468,-3.12675292,1270,Simbalo,0
63675,35.68945716,-3.02923374,2623,Munge,0
40519,37.17327799,-11.09305121,636,Makungani,1
66382,35.76409768,-10.47927001,1066,Ukombozi,0
45386,37.8425512,-9.52034219,549,Songambele,1
43604,38.51700167,-5.59165039,288,Sokoni,1
59053,38.24712015,-4.558200599999998,1874,Mtimui,0
1030,31.1714637,-6.33743009,1156,Mtapenda C,1
52677,33.46572835,-3.79671202,0,Ilobashi,0
1738,36.68246487,-8.31732974,279,Mikindani,0
19548,30.7575028,-2.54204907,0,Nyankende,0
30897,34.77865965,-9.49554502,2116,Majengo,1
27523,38.97994393,-7.95432001,-32,Kingwande,0
815,36.65124906,-3.34432933,1432,Ngwramu,0
14910,37.59859374,-3.11107714,1573,Mlembea,1
11184,34.03993717,-5.14681033,1038,Iyumbu,0
49071,36.25461787,-2.90751657,2223,Larkaria,2
22000,32.88151654,-3.27751494,0,Ikongoigare,0
60074,30.38713168,-5.10792723,981,Jumuiya,2
60374,36.67331251,-3.35811482,1409,Sakei,1
25913,35.59538597,-6.4395627,0,Kawawa,0
6205,39.40299419,-7.10135725,-24,Sangatini,1
48390,36.66190504,-3.59727464,1037,Bondeni,1
3980,36.984230200000006,-6.12962635,0,Magengeni,1
11905,37.07324427,-3.0049507,1621,Matadi A,0
45320,35.00739367,-9.50647981,1721,Kati,1
31264,40.10847456,-10.27672535,-39,Mchangani,0
16537,32.23969163,-3.36690118,0,Mlale B,0
9096,31.62715349,-1.21680448,0,Ulaukya,2
33104,36.13462601,-10.21443688,725,Kanisani,0
11754,33.92608597,-3.69931833,0,Mangu,1
4147,36.96560789,-10.79699534,765,Sisikwasisi,1
53577,37.88986452,-4.36732057,1600,Tariso,2
42476,35.00818338,-8.464787,1762,S,0
68995,39.00497633,-10.80867395,332,Keko,1
32255,38.98411519,-6.5532638,19,Chambeo,1
8699,35.14300047,-9.2600308,1573,Iyembela B,0
1203,31.16922705,-7.102952,963,Ndemanilwa,0
70666,33.447801500000004,-3.24751324,0,Jihu A,1
26293,39.43371534,-7.09627911,-17,Shuleni,1
44358,37.60416022,-3.24463312,1491,Mfuruwashe,1
64687,30.83762891,-3.64201467,1304,Migombani,1
71489,33.98362709,-1.48524922,1243,Shule,1
61994,36.77912479,-3.52920727,988,Masaini,0
42306,31.55517538,-7.66514101,814,Tyula,1
67453,36.64845034,-3.33966151,1455,Sabore,0
11581,38.60065259,-10.6347662,386,Mwinyi,1
14123,30.10273337,-4.50713784,1298,Kiduguda A,2
18266,31.80724315,-1.28454595,0,Bunukangoma,0
59263,35.85723778,-3.27581345,1527,Sabasaba,0
6387,33.23896133,-8.82142407,0,Muvwa,0
28359,38.84415565,-5.27095179,104,Bondeni,1
17571,34.82528843,-4.50932743,1512,M/Kati,0
53558,36.7676484,-3.36785133,1344,Muraiweni,0
66967,33.12878044,-3.7849058,0,Igumija,0
72238,38.24505193,-4.6619485,1794,Chavakaa,0
